#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-06-13T08:16:57 [V1.97 (28-Nov-2012)]
#   In case of problem. please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51b97f734b13	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ._DEJ
#-sort=_r
#-nav=cat:II/237&tab:{II/237/colors}&cat:II/66&key:source=Ducati&HTTPPRM:&&-ref=VIZ51b97f734b13&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ._DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/237/colors
#-order=I
#-out=recno
#-out=Name
#-out=Doub
#-out=Var
#-out=r_SpType
#-out=SpType
#-out=RAJ1950
#-out=DEJ1950
#-out=Vmag
#-out=U-V
#-out=B-V
#-out=R-V
#-out=I-V
#-out=_RA.icrs
#-out=_DE.icrs
#Simbad=Simbad
#
#
#RESOURCE=yCat_2237
#Name: II/237
#Title: Stellar Photometry in Johnson's 11-color system (Ducati. 2002)
#Coosys	J1950:	eq_FK5 J1950
#Table	II_237_colors:
#Name: II/237/colors
#Title: Photometric data in the UBVRIJHKLMN colors
#Column	_RAJ2000	(A10)	Right ascension (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Name	(a12)	star identification	[ucd=meta.id]
#Column	Doub	(A1)	[D13] D if double. 1 for component 1 of the system 3 for component 3 of the system	[ucd=meta.code.multip]
#Column	Var	(A1)	[V] V if variable	[ucd=meta.code;src.var]
#Column	r_SpType	(A1)	[MCYBK FGHPSTW] Source of spectral type (1)	[ucd=meta.ref;pos.frame]
#Column	SpType	(a15)	Spectral type/luminosity class	[ucd=src.spType]
#Column	RAJ1950	(A10)	Right ascension J1950	[ucd=pos.eq.ra;meta.main]
#Column	DEJ1950	(A9)	Declination J1950	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-V	(F5.2)	? (U-V) color index	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	B-V	(F5.2)	? (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	R-V	(F5.2)	? (R-V) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	I-V	(F6.2)	? (I-V) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]                                                                                          
#Column Bad Phot *      * if bad photometry (use it only for astrometry)                                                                                                         
#Column CommonName
recno ;Name          ;  _RAJ2000  ; _DEJ2000 ; RAJ1950   ; DEJ1950   ; Vmag   ; U-V    ; B-V    ; R-V    ; I-V    ; Doub; Var ;r_SpTy; SpType         ; Bad Phot (*); CommonName
  2176;  HD  23802   ; 03 49 07.3; +32 15 51 ; 03 45 58.3; +32 06 43 ;    7.44;   -0.17;    0.17;        ;        ;     ;     ; B    ; B5   V      n  ;  ;
  2177;  HD  64606   ; 07 54 34.9; -01 24 41 ; 07 52 02.6; -01 16 45 ;    7.44;    0.88;    0.73;        ;        ;     ;     ; C    ; G8   V         ;  ;
  2178;  HD 106223   ; 12 13 17.1; +30 16 57 ; 12 10 45.4; +30 33 38 ;    7.44;     0.2;    0.28;        ;        ;     ;     ; C    ; F             p;  ;
  2179;  HD 163892   ; 17 59 26.3; -22 27 59 ; 17 56 24.9; -22 27 50 ;    7.44;   -0.63;    0.17;        ;        ;     ;     ; M    ; B0.5 Ib        ;  ;
  2180;  HD  14535   ; 02 22 53.3; +57 14 42 ; 02 19 19.9; +57 01 04 ;    7.45;    0.83;    0.71;   -0.73;   -1.31;     ;     ; B    ; A2   Ia        ;  ;
  2181;  HD  31220   ; 04 56 03.3; +43 29 37 ; 04 52 28.9; +43 24 53 ;    7.45;    3.85;    1.77;   -1.64;    -3.2;     ;     ; B    ; M0   Ib        ;  ;
  2182;  HD 167660   ; 18 16 59.8; -19 04 34 ; 18 14 03.0; -19 05 42 ;    7.45;        ;        ;        ;        ;     ; V   ; K    ; F8-K1          ;  ;
  2183;  HD   9105   ; 01 31 18.1; +63 20 51 ; 01 27 53.9; +63 05 24 ;    7.47;     0.3;    0.55;        ;        ;     ;     ; B    ; B3   Ia        ;  ;
  2184;  HD  47961   ; 06 41 27.2; +09 51 15 ; 06 38 42.0; +09 54 09 ;    7.47;    -0.9;   -0.14;        ;        ;     ;     ; C    ; B2   V         ;  ;
  2185;  HD 149076   ; 16 34 38.4; -47 00 13 ; 16 30 58.3; -46 54 01 ;    7.47;    0.32;    0.49;   -0.49;   -0.88;     ;     ; M    ; B9.5  Iab/Ib   ;  ;
  2186;  HD 153426   ; 17 01 12.8; -38 12 11 ; 16 57 48.4; -38 07 50 ;    7.47;   -0.68;    0.14;        ;        ;     ;     ; M    ; B9   II/III    ;  ;
  2187;  HD  23060   ; 03 43 23.9; +34 06 58 ; 03 40 13.0; +33 57 30 ;    7.48;   -0.46;    0.11;        ;        ;     ;     ; B    ; B2   IV/V      ;  ;
  2188;  BD+37  1160 ; 05 22 34.5; +37 40 34 ; 05 19 10.0; +37 37 44 ;    7.48;    -0.7;    0.16;        ;        ;     ;     ; C    ; B0   IV      ep;  ;
  2189;  HD  58131   ; 07 23 24.4; -20 13 47 ; 07 21 13.7; -20 07 55 ;    7.48;   -0.01;    0.33;   -0.39;   -0.71;     ;     ; M    ; B9   Iab       ;  ;
  2190;  HD 109914   ; 12 38 30.0; +06 59 16 ; 12 35 57.6; +07 15 45 ;    7.48;    2.78;    1.56;   -1.86;   -3.57;     ; V   ; Y    ; M4.5 III     e ;  ;
  2191;  HD 218209   ; 23 05 00.6; +68 24 53 ; 23 03 07.4; +68 08 40 ;    7.48;    0.73;    0.65;   -0.54;   -0.91;     ;     ; B    ; G6   V         ;  ;
  2192;  HD  12399   ; 02 03 49.1; +64 14 14 ; 02 00 05.5; +63 59 50 ;    7.49;     3.6;    1.79;        ;        ;     ;     ; C    ; G5   Ia        ;  ;
  2193;  HD  28034   ; 04 26 05.3; +15 31 27 ; 04 23 14.7; +15 24 42 ;    7.49;    0.62;    0.54;   -0.48;   -0.77;     ;     ; B    ; F8   V         ;  ;
  2194;  HD 137595   ; 15 28 02.3; -33 32 39 ; 15 24 54.0; -33 22 17 ;    7.49;   -0.71;    0.03;        ;        ;     ;     ; M    ; B2   II/III    ;  ;
  2195;  HD 194839   ; 20 26 21.5; +41 22 45 ; 20 24 35.0; +41 12 51 ;    7.49;    0.91;       1;        ;        ;     ;     ; B    ; B0.5 Ia+       ;  ;
  2196;  HD   2811   ; 00 31 18.4; -43 36 24 ; 00 28 53.0; -43 52 58 ;     7.5;        ;        ;        ;        ;     ;     ; M    ; A3   V         ;  ;
  2197;  R   FOR     ; 02 29 13.8; -26 05 12 ; 02 26 59.9; -26 18 32 ;     7.5;        ;    5.44;        ;        ;     ; V   ; K    ; C4.3        ne ;  ;
  2198;  HD  17446   ; 02 48 19.6; +17 30 34 ; 02 45 31.9; +17 18 06 ;     7.5;        ;        ;        ;        ;     ; V   ; K    ; M6-M8        e ;  ;
  2199;  HD  26601   ; 04 11 31.8; -25 07 45 ; 04 09 26.0; -25 15 26 ;     7.5;        ;        ;        ;        ;     ; V   ; K    ; M7-M9        e ;  ;
  2200;  RY  MON     ; 07 06 56.3; -07 33 24 ; 07 04 31.0; -07 28 40 ;     7.5;        ;        ;        ;        ;     ; V   ; K    ; C5.5-C7.4:     ;  ;
  2201;  HD  70276   ; 08 21 42.8; +17 17 05 ; 08 18 52.0; +17 26 41 ;     7.5;        ;        ;        ;        ;     ; V   ; K    ; S0E-S7.9E      ;  ;
  2202;  HD  75211   ; 08 47 01.5; -44 04 28 ; 08 45 16.0; -43 53 23 ;     7.5;   -0.15;     0.4;        ;        ;     ;     ; M    ; O8   II (f)    ;  ;
  2203;  HD  76534   ; 08 55 08.6; -43 27 59 ; 08 53 20.6; -43 16 28 ;     7.5;   -0.46;    0.12;        ;        ;     ;     ; M    ; B2   V      n  ;  ;
  2204;  HD  93250   ; 10 44 45.1; -59 33 53 ; 10 42 48.3; -59 18 06 ;     7.5;        ;        ;        ;        ;     ;     ; M    ; O6/7           ;  ;
  2205;  HD  95735   ; 11 03 22.5; +36 02 09 ; 11 00 36.5; +36 18 19 ;     7.5;    2.63;    1.51;   -1.51;   -2.71;     ;     ; B    ; M2   V         ;  ;
  2206;  HD 136458   ; 15 21 23.8; -20 23 15 ; 15 18 31.1; -20 12 31 ;     7.5;        ;        ;        ;        ;     ; V   ; K    ; M1.0E-M6.0     ;  ;
  2207;  HD 149249A  ; 16 36 05.1; -51 14 22 ; 16 32 14.1; -51 08 15 ;     7.5;        ;        ;        ;        ;     ;     ; G    ; B4   III       ;  ;
  2208;  HD 165961   ; 18 12 53.2; -63 36 56 ; 18 08 04.9; -63 37 42 ;     7.5;        ;        ;        ;        ;     ; V   ; K    ; M3E-M5(II)     ;  ;
  2209;  HD 167971   ; 18 18 05.7; -12 14 32 ; 18 15 17.5; -12 15 45 ;     7.5;    0.39;    0.77;   -0.82;   -1.43;     ; V   ; M    ; O8       f   e ;  ;
  2210;  HD 186994   ; 19 45 37.9; +44 57 49 ; 19 44 03.9; +44 50 26 ;     7.5;   -1.07;   -0.13;        ;        ;     ;     ; B    ; B0.2 IV        ;  ;
  2211;  HD 192163   ; 20 12 06.4; +38 21 16 ; 20 10 17.0; +38 12 13 ;     7.5;   -0.38;   -0.01;        ;        ;     ; V   ; B    ; WN 6  B        ;  ;
  2212;  HD 209598   ; 22 03 57.2; +28 21 04 ; 22 01 41.0; +28 06 30 ;     7.5;        ;        ;        ;        ;     ; V   ; K    ; M6-M8          ;  ;
  2213;  HD 211610   ; 22 18 42.1; -20 53 59 ; 22 15 57.3; -21 09 02 ;     7.5;        ;        ;        ;        ;     ; V   ; K    ; S6.3E:(M4E)    ;  ;
  2214;  HD 214575   ; 22 40 33.4; -61 33 13 ; 22 37 16.7; -61 48 53 ;     7.5;        ;        ;        ;        ;     ; V   ; K    ; M3/6 II      e ;  ;
  2215;  HD 224269   ; 23 56 27.3; -49 47 12 ; 23 53 51.9; -50 03 54 ;     7.5;        ;        ;        ;        ;     ; V   ; K    ; M2(II)E-M4     ;  ;
  2216;  HD 162102   ; 17 50 52.2; -33 42 23 ; 17 47 34.0; -33 41 36 ;    7.51;    2.26;    1.28;        ;        ;     ; V   ; C    ; F6   Ib        ;  ;
  2217;  HD 173654B  ; 18 46 29.2; -00 57 46 ; 18 43 54.3; -01 01 02 ;    7.51;    0.39;    0.31;        ;        ;     ;     ; Y    ; F3   V         ;  ;
  2218;  HD 225023   ; 00 02 45.8; +35 48 56 ; 00 00 11.8; +35 32 14 ;    7.52;    0.27;    0.18;        ;        ;     ;     ; C    ; A0   III       ;  ;
  2219;  HD  76734   ; 08 58 16.0; +10 50 43 ; 08 55 33.0; +11 02 22 ;    7.52;    2.52;    1.45;        ;        ;     ; V   ; K    ; M5   III       ;  ;
  2220;  HD  84748   ; 09 47 33.4; +11 25 44 ; 09 44 52.2; +11 39 40 ;    7.53;    1.69;    1.41;   -4.14;   -7.41;     ; V   ; Y    ; M8   III     e ;  ;
  2221;  HD 112758   ; 12 59 04.3; -09 50 12 ; 12 56 27.7; -09 34 01 ;    7.53;    1.13;    0.78;   -0.64;   -1.06; D   ;     ; B    ; K0   V         ;  ;
  2222;  HD 119608   ; 13 44 31.3; -17 56 11 ; 13 41 48.2; -17 41 09 ;    7.53;   -0.88;   -0.06;   -0.02;   -0.02;     ;     ; M    ; B1   Ib        ;  ;
  2223;  HD 169753   ; 18 26 33.4; -09 12 05 ; 18 23 48.9; -09 13 55 ;    7.53;    0.56;    0.71;        ;        ;     ; V   ; K    ; B3   Ib        ;  ;
  2224;  HD  67728   ; 08 08 37.6; -19 50 22 ; 08 06 24.3; -19 41 33 ;    7.54;    2.12;    1.12;   -0.87;   -1.47;     ;     ; M    ; G9    III      ;  ;
  2225;  HD 137613   ; 15 27 48.2; -25 10 10 ; 15 24 50.0; -24 59 47 ;    7.54;    2.02;    1.17;   -0.83;   -1.32;     ;     ; M    ; C              ;  ;
  2226;  HD  41890   ; 06 08 47.7; +25 38 45 ; 06 05 41.9; +25 39 17 ;    7.55;    3.48;    1.64;   -1.54;   -2.94;     ;     ;      ;                ;  ;
  2227;  HD  42088   ; 06 09 39.4; +20 29 14 ; 06 06 40.7; +20 29 50 ;    7.55;   -0.82;    0.07;        ;        ;     ;     ; B    ; O6.5 V         ;  ;
  2228;  HD  74194   ; 08 40 47.7; -45 03 29 ; 08 39 05.1; -44 52 45 ;    7.55;    -0.5;    0.22;        ;        ;     ;     ; M    ; O8.5           ;  ;
  2229;  HD  89948   ; 10 22 21.9; -29 33 21 ; 10 20 03.9; -29 18 10 ;    7.55;    0.57;    0.56;        ;        ;     ;     ; M    ; G8   III + A/F ;  ;
  2230;  HD 124601   ; 14 16 34.3; -59 54 47 ; 14 12 56.9; -59 40 53 ;    7.55;        ;     2.1;    -3.1;   -6.18;     ; V   ; M    ; M5           e ;  ;
  2231;  HD 146706   ; 16 18 28.1; -23 16 25 ; 16 15 28.6; -23 09 09 ;    7.55;    0.05;    0.14;        ;        ;     ;     ; M    ; B9   V         ;  ;
  2232;  HD  96880   ; 11 08 24.5; -59 24 44 ; 11 06 16.4; -59 08 28 ;    7.57;   -0.06;    0.46;        ;        ;     ;     ; M    ; B1   Iab/Ib    ;  ;
  2233;  HD 184266   ; 19 34 14.7; -16 18 48 ; 19 31 22.9; -16 25 23 ;    7.57;     0.7;    0.55;        ;        ;     ;     ; M    ; F2   V         ;  ;
  2234;  HD  35910   ; 05 28 06.8; +03 32 07 ; 05 25 29.0; +03 29 42 ;    7.58;   -0.62;    -0.1;    0.04;    0.15;     ;     ; B    ; B5   V      n  ;  ;
  2235;  HD  75860   ; 08 50 53.1; -43 45 04 ; 08 49 06.4; -43 33 47 ;    7.58;    0.47;    0.72;   -0.75;   -1.35; D   ;     ; M    ; B1.5 Ia        ;  ;
  2236;  HD   1987   ; 00 24 03.5; -09 19 37 ; 00 21 30.9; -09 36 14 ;     7.6;        ;        ;        ;        ;     ; V   ; K    ; M3-M6.5    : e ;  ;
  2237;  HD  25408   ; 04 05 53.9; +61 47 40 ; 04 01 31.6; +61 39 33 ;     7.6;        ;    2.26;        ;        ;     ; V   ; K    ; C5.3(R8)       ;  ;
  2238;  HD  28309   ; 04 28 20.7; +10 10 06 ; 04 25 36.0; +10 03 30 ;     7.6;        ;        ;        ;        ;     ; V   ; K    ; M5-M9        e ;  ;
  2239;  T   CNC     ; 08 56 40.1; +19 50 54 ; 08 53 48.9; +20 02 28 ;     7.6;        ;        ;        ;        ;     ; V   ; K    ; C3.8-C5.5      ;  ;
  2240;  HD  93160   ; 10 44 07.3; -59 34 32 ; 10 42 10.8; -59 18 46 ;     7.6;        ;        ;        ;        ;     ;     ; M    ; O7             ;  ;
  2241;  HD 103513   ; 11 54 59.4; -59 15 22 ; 11 52 28.7; -58 58 40 ;     7.6;        ;        ;        ;        ;     ; V   ; K    ; M3E-M8(III     ;  ;
  2242;  HD 107957   ; 12 24 33.9; -49 26 22 ; 12 21 52.3; -49 09 45 ;     7.6;    4.32;    1.85;        ;        ;     ; V   ; K    ; C4.5(NBP)      ;  ;
  2243;  HD 134739   ; 15 11 41.1; -06 00 43 ; 15 09 02.3; -05 49 27 ;     7.6;        ;        ;        ;        ;     ; V   ; K    ; M5E-M8.2E      ;  ;
  2244;  HD 156801   ; 17 19 33.7; +01 30 40 ; 17 17 01.7; +01 33 41 ;     7.6;        ;        ;        ;        ;     ; V   ; K    ; K3-M7.5      ep;  ;
  2245;  HD 165246   ; 18 06 03.7; -24 11 46 ; 18 03 00.0; -24 12 06 ;     7.6;    -0.7;     0.1;        ;        ;     ;     ; C    ; O9   III:      ;  ;
  2246;  HD 185293   ; 19 37 57.1; +11 43 07 ; 19 35 36.0; +11 36 16 ;     7.6;        ;        ;        ;        ;     ; V   ; K    ; M6E-M8E(S)     ;  ;
  2247;  HD 188339   ; 19 56 10.5; -38 19 34 ; 19 52 50.3; -38 27 34 ;     7.6;        ;        ;        ;        ;     ;     ; M    ; M1   III       ;  ;
  2248;  HD 209890   ; 22 05 51.6; +33 30 19 ; 22 03 39.1; +33 15 41 ;     7.6;        ;        ;        ;        ;     ; V   ; K    ; C9.1       (ne);  ;
  2249;  HD 213191   ; 22 29 00.9; +40 18 55 ; 22 26 49.2; +40 03 33 ;     7.6;        ;        ;        ;        ;     ; V   ; K    ; M4-M8.2      e ;  ;
  2250;  HD 216907   ; 22 57 06.3; -20 20 34 ; 22 54 25.7; -20 36 37 ;     7.6;        ;        ;        ;        ;     ; V   ; K    ; M4-M6        e ;  ;
  2251;  HD 219946   ; 23 19 43.0; +26 16 47 ; 23 17 15.2; +26 00 21 ;     7.6;        ;        ;        ;        ;     ; V   ; K    ; M6-M8        e ;  ;
  2252;  HD  46149   ; 06 31 52.5; +05 01 57 ; 06 29 12.9; +05 04 10 ;    7.61;   -0.58;    0.19;        ;        ;     ;     ; B    ; O8.5 V         ;  ;
  2253;  HD 152218   ; 16 53 59.9; -41 42 52 ; 16 50 29.3; -41 38 00 ;    7.61;   -0.59;    0.17;        ;        ;     ;     ; M    ; O9   V         ;  ;
  2254;  HD 156074   ; 17 13 31.2; +42 06 25 ; 17 11 56.6; +42 09 50 ;    7.61;    2.06;    1.14;   -0.72;   -1.19;     ;     ; B    ; C0             ;  ;
  2255;  HD 172488   ; 18 40 47.9; -08 43 04 ; 18 38 04.1; -08 45 56 ;    7.62;    0.14;    0.54;        ;        ;     ;     ; B    ; B0.5 II        ;  ;
  2256;  HD 186860   ; 19 45 42.7; +30 15 23 ; 19 43 43.9; +30 08 01 ;    7.62;    3.33;     1.7;   -1.93;   -3.63;     ;     ; C    ; M5   III       ;  ;
  2257;  HD 104901B  ; 12 04 48.5; -62 00 06 ; 12 02 12.9; -61 43 24 ;    7.63;    0.22;    0.55;        ;        ;     ;     ; T    ; F0    Ib       ;  ;
  2258;  HD 164865   ; 18 04 14.8; -24 10 56 ; 18 01 11.1; -24 11 08 ;    7.63;    0.99;    0.84;   -0.89;   -1.72;     ;     ; C    ; B9   Iab       ;  ;
  2259;  HD 109995   ; 12 38 47.9; +39 18 37 ; 12 36 23.2; +39 35 06 ;    7.64;    0.19;    0.04;        ;        ;     ;     ; B    ; A0            p;  ;
  2260;  HD 165999   ; 18 09 36.9; -23 34 13 ; 18 06 34.0; -23 34 48 ;    7.64;    0.49;    0.27;        ;        ;     ;     ; M    ; A2   IV        ;  ;
  2261;  HD  36629   ; 05 32 57.0; -04 33 57 ; 05 30 28.6; -04 36 00 ;    7.65;   -0.64;    0.02;   -0.12;   -0.12;     ;     ; B    ; B2.5 IV        ;  ;
  2262;  HD  59075   ; 07 27 36.9; -18 29 45 ; 07 25 23.9; -18 23 36 ;    7.65;    0.07;    0.34;        ;        ;     ;     ; M    ; B9   Ib        ;  ;
  2263;  HD  63425B  ; 07 47 07.2; -41 31 02 ; 07 45 26.3; -41 23 34 ;    7.65;        ;        ;        ;        ;     ;     ; G    ; K7   III       ;  ;
  2264;  HD 151213   ; 16 48 18.6; -47 16 49 ; 16 44 36.3; -47 11 33 ;    7.66;   -0.32;     0.3;        ;        ;     ;     ; M    ; B1   Iab       ;  ;
  2265;  HD 217086   ; 22 56 47.0; +62 43 37 ; 22 54 48.9; +62 27 34 ;    7.66;    0.22;    0.64;        ;        ;     ;     ; B    ; O7          n  ;  ;
  2266;  HD 221170   ; 23 29 28.7; +30 26 00 ; 23 27 00.4; +30 09 27 ;    7.66;    1.77;    1.08;        ;        ;     ;     ; C    ; G2   IV        ;  ;
  2267;  HD   5996   ; 01 02 55.2; +69 13 44 ; 00 59 35.3; +68 57 37 ;    7.67;    1.04;    0.75;    -0.6;   -1.01;     ;     ;      ;                ;  ;
  2268;  HD  16429   ; 02 40 44.8; +61 16 55 ; 02 36 53.5; +61 04 04 ;    7.67;    0.24;    0.62;        ;        ;     ;     ; B    ; O9.5 I         ;  ;
  2269;  HD  62150   ; 07 41 13.2; -32 38 37 ; 07 39 18.2; -32 31 32 ;    7.67;    0.21;    0.53;        ;        ;     ;     ; M    ; B4   Iab       ;  ;
  2270;  HD 109399   ; 12 35 16.6; -72 42 59 ; 12 32 11.6; -72 26 28 ;    7.67;   -0.82;       0;        ;        ;     ;     ; M    ; B0.5 III       ;  ;
  2271;  HD   6755   ; 01 09 38.5; +61 32 45 ; 01 06 28.9; +61 16 47 ;    7.68;     0.8;    0.72;        ;        ;     ;     ; B    ; F8   V         ;  ;
  2272;  HD  53791   ; 07 07 21.3; +22 42 12 ; 07 04 20.7; +22 46 56 ;    7.68;    4.06;    2.21;   -3.93;   -7.29;     ; V   ; Y    ; S3.9e          ;  ;
  2273;  HD  54439   ; 07 08 23.0; -11 51 08 ; 07 06 02.7; -11 46 18 ;    7.68;    -0.7;    0.05;        ;        ;     ;     ; B    ; B1   V      n  ;  ;
  2274;  HD  73678   ; 08 37 41.0; -47 21 43 ; 08 36 03.3; -47 11 09 ;    7.68;        ;        ;        ;        ;     ; V   ; K    ; F6-G0II        ;  ;
  2275;  HD 112001   ; 12 53 02.4; +26 47 42 ; 12 50 36.3; +27 03 59 ;    7.68;     0.8;    0.63;        ;        ;     ;     ; B    ; G2   I     :   ;  ;
  2276;  HD 146116   ; 16 14 38.3; -00 23 55 ; 16 12 04.2; -00 16 25 ;    7.68;    1.97;    1.07;   -0.85;   -1.48;     ;     ; B    ; G8   III    WKG;  ;
  2277;  HD   1795   ; 00 22 23.1; +26 59 47 ; 00 19 46.3; +26 43 09 ;     7.7;        ;        ;        ;        ;     ; V   ; K    ; M4-M7.5      e ;  ;
  2278;  HD  96548   ; 11 06 17.2; -65 30 34 ; 11 04 17.9; -65 14 20 ;     7.7;    -0.6;     0.1;        ;        ;     ; V   ; M    ; WN8            ;  ;
  2279;  HD 110259   ; 12 40 21.3; +55 50 47 ; 12 38 04.4; +56 07 15 ;     7.7;        ;        ;        ;        ;     ; V   ; K    ; M7   II/III:   ;  ;
  2280;  HD 120285   ; 13 49 02.2; -28 21 59 ; 13 46 12.2; -28 07 05 ;     7.7;        ;        ;        ;        ;     ; V   ; K    ; M7.5E-M9EP     ;  ;
  2281;  HD 134169   ; 15 08 17.9; +03 55 49 ; 15 05 47.6; +04 07 16 ;     7.7;    0.44;    0.52;        ;        ;     ;     ; C    ; G1   V   m     ;  ;
  2282;  HD 162398   ; 17 53 37.9; -51 40 37 ; 17 49 39.7; -51 40 00 ;     7.7;        ;        ;        ;        ;     ; V   ; K    ; M3   II -M5  ep;  ;
  2283;  V   CYG     ; 20 41 18.2; +48 08 30 ; 20 39 41.3; +47 57 44 ;     7.7;        ;        ;        ;        ;     ; V   ; K    ; C5.3E-C7.4     ;  ;
  2284;  HD 206697   ; 21 42 41.7; +43 35 06 ; 21 40 43.9; +43 21 21 ;     7.7;        ;        ;        ;        ;     ; V   ; K    ; K5   V+PEC(UG) ;  ;
  2285;  HD 222241   ; 23 38 45.1; +35 46 21 ; 23 36 16.1; +35 29 44 ;     7.7;        ;        ;        ;        ;     ; V   ; K    ; C4.3E-C6.4     ;  ;
  2286;  HD  41690   ; 06 07 38.7; +21 52 22 ; 06 04 38.2; +21 52 49 ;    7.71;    -0.4;    0.22;        ;        ;     ;     ; B    ; B1.5 II/III    ;  ;
  2287;  HD 148546   ; 16 30 23.2; -37 58 19 ; 16 27 01.5; -37 51 50 ;    7.71;   -0.43;    0.28;        ;        ;     ;     ; M    ; B0   Ia        ;  ;
  2288;  HD   2665   ; 00 30 45.0; +57 03 56 ; 00 27 58.2; +56 47 22 ;    7.72;    0.94;    0.79;        ;        ;     ;     ; C    ; G5   III  w  e ;  ;
  2289;  HD  71458   ; 08 26 17.6; -32 56 48 ; 08 24 18.7; -32 46 54 ;    7.72;    2.37;     1.2;        ;        ;     ;     ; M    ; K0.5 II        ;  ;
  2290;  HD  30593   ; 04 47 18.9; -36 12 33 ; 04 45 31.7; -36 17 49 ;    7.73;    5.54;    2.32;        ;        ;     ; V   ; K    ; C6.4(N4)       ;  ;
  2291;  HD  88725   ; 10 14 07.6; +03 09 23 ; 10 11 32.1; +03 24 18 ;    7.73;    0.61;     0.6;   -0.49;   -0.84;     ;     ; C    ; G1   V         ;  ;
  2292;  HD  89175   ; 10 15 46.6; -52 38 38 ; 10 13 51.5; -52 23 39 ;    7.73;     1.8;    1.12;        ;        ;     ;     ; M    ; G8   Ib/II     ;  ;
  2293;  HD  13136   ; 02 10 15.7; +56 33 33 ; 02 06 48.4; +56 19 24 ;    7.74;    4.58;    2.22;   -1.88;   -3.45;     ; V   ; Y    ; M2   Ib*       ;  ;
  2294;  HD  46484   ; 06 33 54.3; +04 39 43 ; 06 31 15.2; +04 42 05 ;    7.74;   -0.25;    0.36;        ;        ;     ;     ; B    ; B1   V         ;  ;
  2295;  HD  17971   ; 02 55 54.3; +60 23 35 ; 02 52 00.0; +60 11 28 ;    7.75;    1.96;    1.06;        ;        ;     ;     ; B    ; F0   Ia        ;  ;
  2296;  HD  53667   ; 07 05 35.2; -08 43 44 ; 07 03 11.3; -08 39 06 ;    7.75;   -0.47;    0.24;        ;        ;     ;     ; B    ; B0.5 III       ;  ;
  2297;  HD  83950   ; 09 43 45.4; +55 57 10 ; 09 40 15.4; +56 10 56 ;    7.75;        ;        ;        ;        ;     ; V   ; K    ; F8   Vp + F8 Vp;  ;
  2298;  HD  93205   ; 10 44 33.4; -59 44 13 ; 10 42 37.0; -59 28 26 ;    7.75;   -0.86;    0.05;   -0.19;   -0.29;     ;     ; C    ; O3   V         ;  ;
  2299;  HD  30353   ; 04 48 53.3; +43 16 32 ; 04 45 19.9; +43 11 19 ;    7.76;    0.29;    0.46;        ;        ;     ;     ; B    ; A5   Ia       p;  ;
  2300;  HD  31996   ; 04 59 36.4; -14 48 20 ; 04 57 19.7; -14 52 46 ;    7.76;     7.3;    5.75;   -2.86;   -4.34;     ; V   ; M    ; C7.6         e ;  ;
  2301;  HD  60197   ; 07 32 07.9; -29 38 05 ; 07 30 09.1; -29 31 37 ;    7.76;    3.76;    1.74;        ;        ;     ;     ; M    ; K3   III Ba4   ;  ;
  2302;  HD  93281   ; 10 44 57.3; -59 56 06 ; 10 43 01.0; -59 40 18 ;    7.76;    2.62;    1.74;        ;        ;     ;     ; M    ; K0             ;  ;
  2303;  HD 188037   ; 19 52 29.9; +22 27 12 ; 19 50 20.5; +22 19 24 ;    7.76;     1.2;    0.92;   -2.69;   -5.43; D   ; V   ; C    ; A2             ;  ;
  2304;  HD  33461   ; 05 12 14.4; +41 12 53 ; 05 08 43.6; +41 09 18 ;    7.78;   -0.28;    0.27;        ;        ;     ;     ; C    ; B2  :V     nne ;  ;
  2305;  HD  46883   ; 06 36 09.6; +10 17 03 ; 06 33 23.9; +10 19 35 ;    7.78;   -0.11;    0.38;        ;        ;     ;     ; C    ; B0.5 V     :   ;  ;
